code,Stage,CharityTreat,Charity,Donation,Happiness,Student,RiskAversion,GeneralTrust,sex,birth,race,relig,single,uni stdnt,studies,prev par,exp pref,momjob,dadjob,momeduc,dadeduc,siblings,siborder,child,numchild,risk,trust,BirthData,Religion,MaritalStatus,PreviousExperiment,OccupationMother,OccupationFather,EducationMother,EducationFather,Siblings,SiblingsOlder,Children,ChildrenNumber,BornUK,BornCountry,YearsInUK,LanguageEnglishFirst,LanguageEnglishFluent,LanguageMainChildhood,LanguageOther,LivedOutsideUK,PersonalityExtroverted,PersonalityCritical,PersonalityDependable,PersonalityAnxious,PersonalityOpen,PersonalityReserved,PersonalitySympathetic,PersonalityCareless,PersonalityCalm,Personalityconventional,StartDate,EndDate
9vgsrb,1,NA,BHF,1,NA,1,NA,NA,Male,31/10/1994,Other,Muslim,Single,Yes,Accounting n finance,Yes,I'm open to both Online and In-Lab Experiments,Service,Service,Secondary Education (GCSE/O-Levels) or below,"Vocational Qualification (Diploma, Certificate, BTEC, NVQ 4 and above, or similar)",5,2,No,NA,7,Depends,31/10/1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-06-15T14:24:27Z,2017-06-15T14:37:24Z
z33tfy,1,NA,NA,NA,Extremely happy,1,NA,NA,Female,20/02/1996,White,Christian,Single,Yes,BA HISTORY,No,I'm open to both Online and In-Lab Experiments,Other,"Construction, Extraction, and maintenance","Post-Secondary Education (College, A-Levels, NVQ3 or below, or similar)","Vocational Qualification (Diploma, Certificate, BTEC, NVQ 4 and above, or similar)",1,0,No,NA,6,Can't be too careful,20/02/1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-06-15T14:30:04Z,2017-06-15T14:41:32Z
r2wi1,1,NA,BHF,0,NA,1,NA,NA,Female,11/01/1972,Mixed,Christian,Single,No,NA,Yes,I'm open to both Online and In-Lab Experiments,"Management, Professional, and related","Management, Professional, and related",Secondary Education (GCSE/O-Levels) or below,"Undergraduate Degree (BA, BSc etc.)",2,0,Yes,1,8,Depends,11/01/1972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-06-15T14:48:09Z,2017-06-15T15:07:59Z
dlc940,1,NA,BHF,0,NA,1,NA,NA,Male,23/01/1995,White,Atheist,Single,Yes,Computer Games,Yes,I'm open to both Online and In-Lab Experiments,Other,Other,"Post-graduate Degree (MA, MSc etc.)","Undergraduate Degree (BA, BSc etc.)",1,1,No,NA,Risk Neutral,Can't be too careful,23/01/1995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-06-15T15:00:23Z,2017-06-15T15:32:57Z
157od2,1,NA,BHF,1,NA,1,NA,NA,Male,07.10.1994,White,Other,Single,Yes,Law,Yes,I'm open to both Online and In-Lab Experiments,Service,"Management, Professional, and related","Post-Secondary Education (College, A-Levels, NVQ3 or below, or similar)","Post-Secondary Education (College, A-Levels, NVQ3 or below, or similar)",2,1,No,NA,6,Depends,07.10.1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-06-15T15:18:44Z,2017-06-15T15:44:48Z
mvnvbd,1,NA,Oxfam,10,Extremely unhappy,1,NA,NA,Female,25/10/1997,Other,Other,Single,Yes,Accounting & Finance,Yes,Online Only,Service,Other,Secondary Education (GCSE/O-Levels) or below,Secondary Education (GCSE/O-Levels) or below,1,0,No,NA,2,Can't be too careful,25/10/1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-06-15T15:32:23Z,2017-06-15T15:55:45Z
i8pye5,1,NA,NA,NA,Slightly happy,1,NA,NA,Male,18/10/1996,Black African,Christian,Single,Yes,English Literature,No,I'm open to both Online and In-Lab Experiments,Sales and Office,Unemployed,Secondary Education (GCSE/O-Levels) or below,"Undergraduate Degree (BA, BSc etc.)",3,3,No,NA,Risk Neutral,Can't be too careful,18/10/1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-06-15T14:21:32Z,2017-06-15T16:03:31Z
mw4fon,1,NA,NA,NA,Slightly happy,1,NA,NA,Female,01/05/1996,Other,Buddhist,Single,Yes,Bsc Psychology with a year abroad,Yes,I'm open to both Online and In-Lab Experiments,"Production, Transportation, and Material Moving",Other,Secondary Education (GCSE/O-Levels) or below,Secondary Education (GCSE/O-Levels) or below,5,5,No,NA,7,Most people can be trusted,01/05/1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-06-15T11:15:20Z,2017-06-15T16:05:12Z
8cyduw,1,NA,Oxfam,0,Slightly happy,1,NA,NA,Male,19/07/1995,White,Atheist,Single,Yes,History,Yes,I'm open to both Online and In-Lab Experiments,Government,Sales and Office,"Vocational Qualification (Diploma, Certificate, BTEC, NVQ 4 and above, or similar)",Secondary Education (GCSE/O-Levels) or below,1,0,No,NA,Risk Neutral,Depends,19/07/1995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-06-15T16:07:51Z,2017-06-15T16:19:32Z
zzb3bm,1,NA,Oxfam,10,NA,1,NA,NA,Female,21/08/1967,White,Agnostic,Married,Yes,MA Wild Writing,Yes,I'm open to both Online and In-Lab Experiments,Homemaker,Other,"Post-Secondary Education (College, A-Levels, NVQ3 or below, or similar)",NA,2,2,Yes,2,3,Depends,21/08/1967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-06-15T15:47:21Z,2017-06-15T16:22:26Z
miswk5,1,NA,BHF,1,NA,1,NA,NA,Female,09/09/1996,Other,Muslim,Single,Yes,Politics with Human Rights,No,I'm open to both Online and In-Lab Experiments,Other,Other,"Vocational Qualification (Diploma, Certificate, BTEC, NVQ 4 and above, or similar)",Secondary Education (GCSE/O-Levels) or below,3,0,No,NA,4,Can't be too careful,09/09/1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-06-15T16:31:14Z,2017-06-15T16:40:23Z
qkyts4,1,NA,NA,NA,Neither happy nor unhappy,1,NA,NA,Female,29/05/1996,Black African,Christian,Single,Yes,History,No,I'm open to both Online and In-Lab Experiments,Service,Other,"Undergraduate Degree (BA, BSc etc.)","Undergraduate Degree (BA, BSc etc.)",2,1,No,NA,Risk Neutral,Depends,29/05/1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-06-15T15:54:36Z,2017-06-15T16:45:48Z
